PanCam_CT Measured ~2018 Aber. Uni.,,,,,,,,
Wavelength,MultiSpec,White,Red,Yellow,Turquoise,Blue,Light_Gray,Dark_Gray
461.74,10.967,85.046,8.002,7.72,20.907,9.565,16.669,6.232
462.1,11.239,85.005,7.995,7.729,20.945,9.464,16.703,6.216
462.47,11.589,84.958,8.005,7.698,20.963,9.409,16.673,6.222
462.83,12.018,84.969,8.007,7.709,20.957,9.355,16.687,6.217
463.19,12.526,84.962,8.014,7.721,20.995,9.279,16.678,6.225
463.55,13.071,84.918,8.015,7.699,21.015,9.195,16.663,6.224
463.91,13.601,84.915,8.018,7.692,21.064,9.126,16.676,6.187
464.28,14.076,84.917,8.015,7.679,21.111,9.083,16.655,6.186
464.64,14.446,84.951,8.027,7.652,21.146,9.051,16.661,6.186
465,14.737,84.963,7.999,7.67,21.189,8.985,16.701,6.18
465.36,14.893,84.994,7.974,7.676,21.245,8.93,16.677,6.172
465.72,14.943,84.981,7.973,7.644,21.25,8.849,16.684,6.165
466.08,14.886,85.03,7.976,7.633,21.286,8.803,16.676,6.153
466.44,14.792,85.115,7.974,7.639,21.305,8.774,16.677,6.16
466.81,14.663,85.138,7.985,7.612,21.364,8.711,16.668,6.158
467.17,14.541,85.138,7.974,7.626,21.386,8.621,16.655,6.159
467.53,14.401,85.162,7.975,7.615,21.434,8.566,16.636,6.157
467.89,14.284,85.167,7.977,7.608,21.462,8.485,16.658,6.151
468.25,14.205,85.215,7.961,7.615,21.515,8.44,16.635,6.135
468.61,14.183,85.222,7.953,7.604,21.564,8.379,16.632,6.145
468.97,14.202,85.183,7.942,7.613,21.603,8.296,16.631,6.15
469.33,14.217,85.185,7.934,7.627,21.602,8.228,16.628,6.138
469.7,14.229,85.157,7.916,7.624,21.615,8.192,16.597,6.153
470.06,14.239,85.178,7.918,7.612,21.633,8.126,16.579,6.157
470.42,14.227,85.188,7.921,7.604,21.645,8.084,16.537,6.157
470.78,14.215,85.132,7.922,7.61,21.674,8.064,16.512,6.151
471.14,14.161,85.151,7.916,7.631,21.695,8.029,16.496,6.136
471.5,14.082,85.223,7.903,7.612,21.748,8.002,16.475,6.124
471.86,14.02,85.183,7.904,7.61,21.798,7.967,16.478,6.101
472.22,13.957,85.255,7.912,7.595,21.875,7.951,16.493,6.078
472.58,13.891,85.279,7.906,7.59,21.893,7.923,16.49,6.051
472.94,13.882,85.298,7.918,7.58,21.929,7.903,16.492,6.044
473.3,13.871,85.418,7.922,7.577,21.949,7.84,16.498,6.046
473.66,13.894,85.43,7.926,7.553,21.961,7.794,16.5,6.062
474.02,13.98,85.378,7.946,7.565,21.985,7.762,16.503,6.058
474.39,14.075,85.444,7.93,7.543,21.995,7.716,16.47,6.092
474.75,14.198,85.446,7.913,7.53,22.006,7.683,16.469,6.103
475.11,14.385,85.467,7.884,7.526,22.044,7.666,16.441,6.118
475.47,14.599,85.44,7.868,7.531,22.096,7.637,16.427,6.111
475.83,14.839,85.412,7.855,7.537,22.131,7.624,16.407,6.108
476.19,15.107,85.429,7.845,7.561,22.158,7.62,16.39,6.083
476.55,15.371,85.473,7.837,7.563,22.165,7.592,16.352,6.081
